Care Pathway,Sub-Pathway,Trigger(s),Task / Interaction,Primary Persona(s)
IV. Appointment Scheduling & Visit Management,Visit Preparation & Reminders,Member indicates in the app that they have an upcoming provider visit.,Helping a member prepare for an upcoming visit with their external (local) provider.,Care Coach
IV. Appointment Scheduling & Visit Management,Post-Visit Follow-Up,An encounter summary from a completed telehealth visit is imported into the system.,Following up after a visit to discuss lifestyle goals recommended by the physician.,Care Coach
IV. Appointment Scheduling & Visit Management,Post-Visit Follow-Up,An encounter summary is available after a visit.,Notifying a member on how to access their visit summary in the patient portal.,Care Coach
IV. Appointment Scheduling & Visit Management,Handling Cancellations & Issues,System generates a task when a member cancels a scheduled appointment.,Following up with a member after an appointment was canceled.,Care Coach
IV. Appointment Scheduling & Visit Management,Handling Cancellations & Issues,The clinic or provider cancels an appointment.,"Notifying a member of an appointment cancellation (e.g., by the provider).",Care Coach
IV. Appointment Scheduling & Visit Management,Handling Cancellations & Issues,Member expresses unwillingness to schedule a recommended visit.,Addressing situations where a member is unwilling to schedule an appointment.,Care Coach
"V. Health Coaching, Education, & Goal Setting",Responding to Logged Data,Member logs a new meal or exercise activity in the app.,Commenting on a member's logged exercise or food to provide encouragement and insight.,Dietician/Nutritionist
"V. Health Coaching, Education, & Goal Setting",Responding to Logged Data,Member logs a new mood in the app.,Following up on a logged mood if appropriate.,Behavioral Specialist
"V. Health Coaching, Education, & Goal Setting",Lifestyle & Condition Education,A member experiences a hypoglycemic event or asks about low blood sugar.,"Providing education on what to do for low blood glucose (the ""Rule of 15"").",Registered Nurse
"V. Health Coaching, Education, & Goal Setting",Lifestyle & Condition Education,A member's profile indicates eligibility for the HTN program.,Introducing the hypertension (HTN) program and explaining its benefits to newly eligible members.,Care Coach
"V. Health Coaching, Education, & Goal Setting",Lifestyle & Condition Education,"A specific need is identified through conversation or clinical data (e.g., T1D member needs info on backup insulin). ","Sending educational content cards on various topics (Insulin, BP, Diet).",Care Coach / Dietician
"V. Health Coaching, Education, & Goal Setting",Goal Setting & Action Planning,A member completes a scheduled follow-up or check-in survey.,Discussing progress with a member after they complete a follow-up survey.,Care Coach
"V. Health Coaching, Education, & Goal Setting",Goal Setting & Action Planning,A clinical trigger for high BP or high BG is activated.,Revisiting lifestyle goals if blood pressure or glucose readings are trending high.,Care Coach
"V. Health Coaching, Education, & Goal Setting",Goal Setting & Action Planning,A post-visit follow-up reveals new lifestyle goals recommended by the physician.,Asking a member about their willingness to work on specific lifestyle recommendations from a doctor.,Care Coach
"VI. Clinical Monitoring, Escalations, & Interventions",Responding to Glycemic Triggers,System detects average BG has crossed a non-urgent threshold over the last 14 days.,"Intervening when a member's average BG is trending high (e.g., >170, >190, >220).",Care Coach
"VI. Clinical Monitoring, Escalations, & Interventions",Responding to Glycemic Triggers,System detects a BG reading > 400 mg/dL or a new verified A1c of 9% or higher.,Triaging and escalating urgent issues like BG > 400 mg/dL or A1c ≥ 9% to an RN.,Care Coach > Registered Nurse
"VI. Clinical Monitoring, Escalations, & Interventions",Responding to Glycemic Triggers,System detects one or more BG readings < 54 mg/dL.,"Responding to hypoglycemia alerts, such as BGM/CGM < 54 mg/dL, and escalating to an RN.",Care Coach > Registered Nurse
"VI. Clinical Monitoring, Escalations, & Interventions",Responding to BP Triggers,System detects a pattern of elevated BP readings over the past 7-14 days.,Reviewing readings and coaching on proper technique when BP is over 130/80 or 140/90.,Care Coach
"VI. Clinical Monitoring, Escalations, & Interventions",Responding to BP Triggers,System detects a member’s BP is ≥ 160/100 on 2 or more occasions in the past 7 days.,Triaging and escalating urgent BP readings (>160/100) to an RN.,Care Coach > Registered Nurse
"VI. Clinical Monitoring, Escalations, & Interventions",Responding to BP Triggers,The app detects a very high or very low pulse reading.,Escalating for urgent high or low pulse readings.,Care Coach > Registered Nurse
"VI. Clinical Monitoring, Escalations, & Interventions",Handling Referrals & Member Refusal,A member refuses an offer for a recommended telehealth visit.,Guiding a member who is unwilling to see an Onduo provider to contact their local provider instead.,Care Coach
"VI. Clinical Monitoring, Escalations, & Interventions",Handling Referrals & Member Refusal,A member with urgent clinical readings refuses care from all recommended providers.,Recommending an urgent care center if a member refuses both Onduo and local provider care but requires attention.,Registered Nurse
"VI. Clinical Monitoring, Escalations, & Interventions",Managing Surveys & Checkpoints,"A scheduled checkpoint is due (e.g., every 90 days). ","Prompting a member to complete a scheduled ""checkpoint,"" such as the Diabetes Check-in Survey or a BP Checkpoint.",System / Care Coach
"VI. Clinical Monitoring, Escalations, & Interventions",Managing Surveys & Checkpoints,A member completes a scheduled checkpoint survey.,Following up on the results of a completed checkpoint to discuss progress.,Care Coach
"VI. Clinical Monitoring, Escalations, & Interventions",Managing Surveys & Checkpoints,A member actively opts out of or cancels a checkpoint survey.,Inquiring why a member canceled a scheduled checkpoint.,Care Coach
